Topic ID,Topic Name,Chapter,Subsection,Problem Number,Problem Title,URL,Difficulty,Is Premium
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),3439,重新安排會議可得到最多空閒時間 I,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i/,1729,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2134,最少交換次數來組合所有的 1 II,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/,1748,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1652,拆炸彈,https://leetcode.com/problems/defuse-the-bomb/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1297,子字串的最大出現次數,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/,1748,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2653,滑動子陣列的美麗值,https://leetcode.com/problems/sliding-subarray-beauty/,1786,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1888,使二進位字串字元交替的最少反轉次數,https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/,2006,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),567,字符串的排列,https://leetcode.com/problems/permutation-in-string/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),438,找到字串中所有字母異位詞,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),30,串聯所有單字的子串,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2156,尋找給定哈希值的子字串,https://leetcode.com/problems/find-substring-with-given-hash-value/,2063,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2953,統計完全子字串,https://leetcode.com/problems/count-complete-substrings/,2449,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1016,子串能表示從 1 到 N 數字的二進位串,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),683,K 個關閉的燈泡,https://leetcode.com/problems/k-empty-slots/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2067,等計數子字串的數量,https://leetcode.com/problems/number-of-equal-count-substrings/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2524,子陣列的最大頻率分數,https://leetcode.com/problems/maximum-frequency-score-of-a-subarray/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2200,求出陣列中的所有 K 近鄰下標,https://leetcode.com/problems/find-all-k-distant-indices-in-an-array/,1266,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2269,找到一個數字的 K 美值,https://leetcode.com/problems/find-the-k-beauty-of-a-number/,1280,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1984,學生分數的最小差異,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores/,1306,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1461,檢查一個字串是否包含所有長度為 K 的二進位子字串,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/,1504,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),220,存在重複元素 III,https://leetcode.com/problems/contains-duplicate-iii/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),3,無重複字元的最長子字串,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),3090,每個字元最多出現兩次的最長子字串,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/,1329,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1493,刪掉一個元素以後全為 1 的最長子陣列,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,1423,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),3634,使陣列平衡的最少移除數目,https://leetcode.com/problems/minimum-removals-to-balance-array/,1453,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1208,盡可能使字符串相等,https://leetcode.com/problems/get-equal-substrings-within-budget/,1497,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),904,水果成籃,https://leetcode.com/problems/fruit-into-baskets/,1516,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1695,刪除子陣列的最大得分,https://leetcode.com/problems/maximum-erasure-value/,1529,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2958,最多 K 個重複元素的最長子陣列,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,1535,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2024,考試的最大困擾度,https://leetcode.com/problems/maximize-the-confusion-of-an-exam/,1643,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1004,最大連續 1 的個數 III,https://leetcode.com/problems/max-consecutive-ones-iii/,1656,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1658,將 x 減到 0​​ 的最小操作數,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/,1817,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),3641,最長半重複子陣列,https://leetcode.com/problems/longest-semi-repeating-subarray/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2730,找到最長的半重複子字串,https://leetcode.com/problems/find-the-longest-semi-repetitive-substring/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2779,陣列的最大美麗值,https://leetcode.com/problems/maximum-beauty-of-an-array-after-applying-operation/,1638,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),1838,最高頻元素的頻數,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,1876,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.1 基礎 (Basic),2516,每種字元至少取 K 個,https://leetcode.com/problems/take-k-of-each-character-from-left-and-right/,1948,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2831,找出最長等值子陣列,https://leetcode.com/problems/find-the-longest-equal-subarray/,1976,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2271,毯子覆蓋的最多白色磚塊數,https://leetcode.com/problems/maximum-white-tiles-covered-by-a-carpet/,2022,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2106,摘水果,https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps/,2062,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2555,兩個線段獲得的最多獎品,https://leetcode.com/problems/maximize-win-from-two-segments/,2081,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2009,使陣列連續的最少操作數,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/,2084,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1610,可見點的最大數目,https://leetcode.com/problems/maximum-number-of-visible-points/,2147,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2781,最長合法子字串的長度,https://leetcode.com/problems/length-of-the-longest-valid-substring/,2204,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3411,最長乘積等價子陣列,https://leetcode.com/problems/maximum-subarray-with-equal-products/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3413,收集連續 K 個袋子可以獲得的最多硬幣數量,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags/,2374,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2968,執行操作使頻率分數最大,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/,2444,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1040,移動石子直到連續 II,https://leetcode.com/problems/moving-stones-until-consecutive-ii/,2456,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),395,至少有 K 個重複字元的最長子串,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1763,最長的美好子字串,https://leetcode.com/problems/longest-nice-substring/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),487,最大連續 1 的個數 II,https://leetcode.com/problems/max-consecutive-ones-ii/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),159,至多包含兩個不同字元的最長子字串,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),340,至多包含 K 個不同字元的最長子字串,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),209,長度最小的子陣列,https://leetcode.com/problems/minimum-size-subarray-sum/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2904,最短且字典序最小的美麗子字符串,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1234,替換子串得到平衡字串,https://leetcode.com/problems/replace-the-substring-for-balanced-string/,1878,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2875,無限陣列的最短子陣列,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array/,1914,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),76,最小覆蓋子串,https://leetcode.com/problems/minimum-window-substring/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),632,最小區間,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),713,乘積小於 K 的子陣列,https://leetcode.com/problems/subarray-product-less-than-k/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3258,統計滿足 K 限制的子字串數量 I,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-i/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2302,統計得分小於 K 的子陣列數目,https://leetcode.com/problems/count-subarrays-with-score-less-than-k/,1808,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2762,不間斷子陣列,https://leetcode.com/problems/continuous-subarrays/,1940,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2743,計算沒有重複字元的子字符串數量,https://leetcode.com/problems/count-substrings-without-repeating-character/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3134,求出唯一性陣列的中位數,https://leetcode.com/problems/find-the-median-of-the-uniqueness-array/,2451,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3261,統計滿足 K 限制的子字串數量 II,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii/,2659,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1358,包含所有三種字元的子字串數目,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/,1646,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2962,統計最大元素出現至少 K 次的子陣列,https://leetcode.com/problems/count-subarrays-where-max-element-appears-at-least-k-times/,1701,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3325,字元至少出現 K 次的子字串 I,https://leetcode.com/problems/count-substrings-with-k-frequency-characters-i/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2799,統計完全子陣列的數目,https://leetcode.com/problems/count-complete-subarrays-in-an-array/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2537,統計好子陣列的數目,https://leetcode.com/problems/count-the-number-of-good-subarrays/,1892,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3298,統計重新排列後包含另一個字串的子字串數目 II,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-ii/,1909,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2495,乘積為偶數的子陣列數,https://leetcode.com/problems/number-of-subarrays-having-even-product/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),930,和相同的二元子陣列,https://leetcode.com/problems/binary-subarrays-with-sum/,1592,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1248,統計「優美子陣列」,https://leetcode.com/problems/count-number-of-nice-subarrays/,1624,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3306,元音輔音字符串計數 II,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-ii/,2200,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),992,K 個不同整數的子陣列,https://leetcode.com/problems/subarrays-with-k-different-integers/,2210,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),825,適齡的朋友,https://leetcode.com/problems/friends-of-appropriate-ages/,1697,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),2401,最長優雅子陣列,https://leetcode.com/problems/longest-nice-subarray/,1750,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1156,單一字元重複子字串的最大長度,https://leetcode.com/problems/swap-for-longest-repeated-character-substring/,1787,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),424,替換後的最長重複字符,https://leetcode.com/problems/longest-repeating-character-replacement/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),438,找到字串中所有字母異位詞,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1712,將陣列分成三個子陣列的方案數,https://leetcode.com/problems/ways-to-split-array-into-three-subarrays/,2079,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),1918,第 K 小的子陣列和,https://leetcode.com/problems/kth-smallest-subarray-sum/,,TRUE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),344,反轉字串,https://leetcode.com/problems/reverse-string/,,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),3643,垂直翻轉子矩陣,https://leetcode.com/problems/flip-square-submatrix-vertically/,1235,FALSE
1,滑動視窗與雙指針,一、定長滑動視窗 (Fixed-Length Sliding Window),§1.2 進階 (Advanced),125,驗證回文串,https://leetcode.com/problems/valid-palindrome/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1750,刪除字符串兩端相同字元後的最短長度,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends/,1502,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),2105,給植物澆水 II,https://leetcode.com/problems/watering-plants-ii/,1507,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),977,有序陣列的平方,https://leetcode.com/problems/squares-of-a-sorted-array/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),658,找到 K 個最接近的元素,https://leetcode.com/problems/find-k-closest-elements/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1471,陣列中的 K 個最強值,https://leetcode.com/problems/the-k-strongest-values-in-an-array/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),167,兩數之和 II - 輸入有序陣列,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),633,平方數之和,https://leetcode.com/problems/sum-of-square-numbers/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),2824,統計和小於目標的下標對數目,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),2563,統計公平數對的數目,https://leetcode.com/problems/count-the-number-of-fair-pairs/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),15,三數之和,https://leetcode.com/problems/3sum/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),16,最接近的三數之和,https://leetcode.com/problems/3sum-closest/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),18,四數之和,https://leetcode.com/problems/4sum/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),611,有效三角形的個數,https://leetcode.com/problems/valid-triangle-number/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1577,數的平方等於兩數乘積的方法數,https://leetcode.com/problems/number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),923,三數之和的多種可能,https://leetcode.com/problems/3sum-with-multiplicity/,1711,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),948,令牌放置,https://leetcode.com/problems/bag-of-tokens/,1762,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),11,盛裝最多水的容器,https://leetcode.com/problems/container-with-most-water/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),42,接雨水,https://leetcode.com/problems/trapping-rain-water/,,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1616,分割兩個字符串得到回文串,https://leetcode.com/problems/split-two-strings-to-make-palindrome/,1868,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1498,滿足條件的子序列數目,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/,2276,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1782,統計點對的數目,https://leetcode.com/problems/count-pairs-of-nodes/,2457,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1099,小於 K 的兩個數之和,https://leetcode.com/problems/two-sum-less-than-k/,,TRUE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),360,有序轉化陣列,https://leetcode.com/problems/sort-transformed-array/,,TRUE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),2422,使用合併操作將陣列轉換為回文序列,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome/,,TRUE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),259,較小的三數總和,https://leetcode.com/problems/3sum-smaller/,,TRUE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),1574,刪除最短的子陣列使剩餘陣列有序,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted/,1932,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),2972,統計移除遞增子陣列的數目 II,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii/,2153,FALSE
1,滑動視窗與雙指針,二、不定長滑動視窗 (Variable-Length Sliding Window),§2.1 求最長/最大 (Find Longest/Maximum),2122,還原原陣列,https://leetcode.com/problems/recover-the-original-array/,2159,FALSE
